arquivo,produto,ref,objetivo,mensagem,cta,url,utm_content,foto_oficial
feed-14.jpg,Calca Alfaiataria Premium,800311,prospeccao,ESCOLHA 4 PAGUE 3,VER CALCAS,https://www.lurdsplussize.com.br/produto/calca-feminina-alfaiataria-premium-plus-size-ref-800311-off-white,feed14_alfaiataria,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/800311/OFF_WHITE/1786068471896-800311-OFF-WHITE-1-jpg.jpg
feed-15.jpg,Regata Alcinha,403048,consideracao,DO 46 AO 60 LEVE 4 PAGUE 3,VER TAMANHOS,https://www.lurdsplussize.com.br/produto/ref-403048,feed15_tamanhos,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/403048/MUSGO/1786651420238-modelo-oficial-rosto-regata-verde-acetinada.png
feed-16.jpg,Calca Aladdin,406027,consideracao,CONFORTO E ESTILO EM 4 ESCOLHAS,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/ref-406027,feed16_conforto,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/406027/MUSGO/1786651011099-modelo-oficial-acetinado-2305.png
feed-17.jpg,Camisa Manga Longa,407012,consideracao,UMA PECA GRATIS NO SEU LOOK,VER NOVIDADES,https://www.lurdsplussize.com.br/produto/ref-407012,feed17_look,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/407012/PO__MARROM/1786647750095-modelo-oficial-look-poa-1905.png
feed-18.jpg,Blusa Manga Curta,700984,consideracao,QUATRO JEITOS DE SE SENTIR LINDA,ESCOLHER PECAS,https://www.lurdsplussize.com.br/produto/blusa-feminina-plus-size-manga-curta-ref-700984-estampa-marinho,feed18_quatro_looks,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700984/ESTAMPA_MARINHO/1786068007124-700984-ESTAMPA-MARINHO-1-jpg.jpg
feed-19.jpg,Regata,700991,consideracao,LEVE 4 PAGUE 3 EM TODO O SITE,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/regata-feminina-plus-size-ref-700991-marrom,feed19_site_todo,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700991/MARROM/1786068027855-700991-MARROM-1-jpg.jpg
feed-20.jpg,Kimono Manga Curta,701008,consideracao,MISTURE CORES E ESTILOS,VER NOVIDADES,https://www.lurdsplussize.com.br/produto/kimono-manga-curta-plus-size-ref-701008-estampa-coral,feed20_cores,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/701008/ESTAMPA_CORAL/1786068057780-701008-ESTAMPA-CORAL-1-jpg.jpg
feed-21.jpg,Camisa Manga Longa,701003,consideracao,ESCOLHA QUATRO PRODUTOS DIFERENTES,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/camisa-feminina-manga-longa-plus-size-ref-701003-marrom,feed21_regra,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/701003/MARROM/1786068041800-701003-MARROM-1-jpg.jpg
feed-22.jpg,Blusa Manga Curta,SMILE,consideracao,A MAIS BARATA SAI GRATIS,ESCOLHER PECAS,https://www.lurdsplussize.com.br/produto/blusa-feminina-manga-curta-plus-size-ref-smile-manteiga,feed22_mais_barata,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/SMILE/MANTEIGA/1786072422905-SMILE-MANTEIGA-1-jpg.jpg
feed-23.jpg,Blusa Manga Curta,CHIC,remarketing,SUA SACOLA PODE GANHAR UMA PECA,RETOMAR COMPRA,https://www.lurdsplussize.com.br/novidades,feed23_retomar,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/CHIC/GOIABA/1785768558941-WhatsApp_Image_2026-07-25_at_08.57.55.jpeg
feed-24.jpg,Shorts Saia Bengaline,820109,remarketing,FALTA POUCO PARA GANHAR A QUARTA PECA,COMPLETAR SACOLA,https://www.lurdsplussize.com.br/novidades,feed24_completar,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/820109/AMENDOA/1786068773710-820109-AMENDOA-1-jpg.jpg
feed-25.jpg,Blusa Tule Manga Longa,700996,remarketing,SEUS FAVORITOS AINDA ESTAO AQUI,RETOMAR COMPRA,https://www.lurdsplussize.com.br/novidades,feed25_favoritos,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700996/PRETO/1786068034081-700996-PRETO-1-jpg.jpg
feed-26.jpg,Shorts Saia,810175,remarketing,LEVE 4 PAGUE 3,RETOMAR COMPRA,https://www.lurdsplussize.com.br/novidades,feed26_retomar,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/810175/MARROM/1786068700800-810175-MARROM-1-jpg.jpg
feed-27.jpg,Calca Alfaiataria Premium,800311,remarketing,COMPLETE SEU LOOK E GANHE A MAIS BARATA,COMPLETAR SACOLA,https://www.lurdsplussize.com.br/novidades,feed27_look,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/800311/OFF_WHITE/1786068471896-800311-OFF-WHITE-1-jpg.jpg
feed-28.jpg,Regata Alcinha,403048,remarketing,QUATRO PRODUTOS UMA PECA GRATIS,RETOMAR COMPRA,https://www.lurdsplussize.com.br/novidades,feed28_quatro,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/403048/MUSGO/1786651420238-modelo-oficial-rosto-regata-verde-acetinada.png
feed-29.jpg,Camisa Manga Longa,407012,remarketing,NAO DEIXE SUA PECA GRATIS PARA DEPOIS,COMPRAR AGORA,https://www.lurdsplussize.com.br/novidades,feed29_urgencia,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/407012/PO__MARROM/1786647750095-modelo-oficial-look-poa-1905.png
feed-30.jpg,Kimono Manga Curta,701008,remarketing,ESCOLHA 4 PAGUE APENAS 3,COMPRAR AGORA,https://www.lurdsplussize.com.br/novidades,feed30_final,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/701008/ESTAMPA_CORAL/1786068057780-701008-ESTAMPA-CORAL-1-jpg.jpg
